STATION,Station_name,DATE,LATITUDE,LONGITUDE,ELEVATION,temperature,dew_point_temperature,station_level_pressure,sea_level_pressure,relative_humidity,temperature_original,sea_level_pressure_original,relative_humidity_original,is_anomaly,anomaly_type,anomaly_id,anomaly_params
INM00043057,BOMBAY / COLABA,2024-01-31 06:00:00,18.9,72.8167,11.0,28.0,19.4,,1015.7,60.0,28.0,1015.7,60.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-31 09:00:00,18.9,72.8167,11.0,29.0,20.6,,1012.6,61.0,29.0,1012.6,61.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-31 12:00:00,18.9,72.8167,11.0,27.0,21.3,,1012.9,71.0,27.0,1012.9,71.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-01 03:00:00,18.9,72.8167,11.0,23.0,20.5,,1016.6,86.0,23.0,1016.6,86.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-01 06:00:00,18.9,72.8167,11.0,27.0,21.3,,1017.3,71.0,27.0,1017.3,71.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-01 09:00:00,18.9,72.8167,11.0,28.0,22.4,,1014.4,72.0,28.0,1014.4,72.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-01 12:00:00,18.9,72.8167,11.0,26.0,19.6,,1013.7,68.0,26.0,1013.7,68.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-02 03:00:00,18.9,72.8167,11.0,22.0,19.2,,1016.7,84.0,22.0,1016.7,84.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-02 06:00:00,18.9,72.8167,11.0,26.6,19.9,,1017.3,67.0,26.6,1017.3,67.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-02 09:00:00,18.9,72.8167,11.0,28.4,21.5,,1014.0,66.0,28.4,1014.0,66.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-02 12:00:00,18.9,72.8167,11.0,26.5,21.0,,1012.7,72.0,26.5,1012.7,72.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-03 03:00:00,18.9,72.8167,11.0,22.4,19.9,,1015.4,86.0,22.4,1015.4,86.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-03 06:00:00,18.9,72.8167,11.0,29.6,18.8,,1015.6,52.0,29.6,1015.6,52.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-03 12:00:00,18.9,72.8167,11.0,29.5,23.9,,1012.6,72.0,29.5,1012.6,72.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-04 03:00:00,18.9,72.8167,11.0,22.8,20.3,,1016.3,86.0,22.8,1016.3,86.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-04 12:00:00,18.9,72.8167,11.0,30.0,24.6,,1013.6,73.0,30.0,1013.6,73.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-05 03:00:00,18.9,72.8167,11.0,23.4,21.8,,1016.6,91.0,23.4,1016.6,91.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-05 09:00:00,18.9,72.8167,11.0,30.0,19.6,,1014.8,54.0,30.0,1014.8,54.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-05 12:00:00,18.9,72.8167,11.0,28.5,19.9,,1013.7,60.0,28.5,1013.7,60.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-06 03:00:00,18.9,72.8167,11.0,23.2,20.8,,1016.9,86.0,23.2,1016.9,86.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-06 12:00:00,18.9,72.8167,11.0,27.6,22.9,,1013.6,76.0,27.6,1013.6,76.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-07 03:00:00,18.9,72.8167,11.0,23.8,21.7,,1017.5,88.0,23.8,1017.5,88.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-07 09:00:00,18.9,72.8167,11.0,29.4,23.3,,1015.0,70.0,29.4,1015.0,70.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-07 12:00:00,18.9,72.8167,11.0,27.0,21.3,,1014.1,71.0,27.0,1014.1,71.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-08 03:00:00,18.9,72.8167,11.0,22.0,17.5,,1016.6,76.0,22.0,1016.6,76.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-08 06:00:00,18.9,72.8167,11.0,29.0,20.6,,1017.1,61.0,29.0,1017.1,61.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-08 09:00:00,18.9,72.8167,11.0,29.2,20.4,,1013.8,59.0,29.2,1013.8,59.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-08 12:00:00,18.9,72.8167,11.0,27.5,21.7,,1012.3,71.0,27.5,1012.3,71.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-09 00:00:00,18.9,72.8167,11.0,23.0,19.6,,1013.2,81.0,23.0,1013.2,81.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-09 03:00:00,18.9,72.8167,11.0,22.8,20.3,,1015.6,86.0,22.8,1015.6,86.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-09 12:00:00,18.9,72.8167,11.0,27.0,18.9,,1013.0,61.0,27.0,1013.0,61.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-10 03:00:00,18.9,72.8167,11.0,21.0,15.3,,1016.6,70.0,21.0,1016.6,70.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-10 06:00:00,18.9,72.8167,11.0,28.6,16.4,,1017.2,48.0,28.6,1017.2,48.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-10 12:00:00,18.9,72.8167,11.0,26.6,17.7,,1014.3,58.0,26.6,1014.3,58.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-11 00:00:00,18.9,72.8167,11.0,21.7,13.5,,1014.3,60.0,21.7,1014.3,60.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-11 03:00:00,18.9,72.8167,11.0,20.4,14.6,,1016.7,69.0,20.4,1016.7,69.0,False,,,
